ID,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,F1,F2,F3,F4,F5,F6,F7,G1,G2,G3,G4,G5,G6,G7
000011,pozione.png,chiave.png,spada.png,scrigno.png,mostro.png,{n},diamante.png,spada.png,pozione.png,{n},diamante.png,chiave.png,scrigno.png,mostro.png,chiave.png,mostro.png,pozione.png,trappola.png,diamante.png,spada.png,scrigno.png,sfera.png,spada.png,scrigno.png,mostro.png,pozione.png,diamante.png,chiave.png,mostro.png,diamante.png,chiave.png,spada.png,scrigno.png,pozione.png,sfera.png,scrigno.png,trappola.png,diamante.png,chiave.png,spada.png,mostro.png,pozione.png,diamante.png,scrigno.png,mostro.png,pozione.png,sfera.png,chiave.png,spada.png
000012,scrigno.png,trappola.png,chiave.png,spada.png,mostro.png,pozione.png,diamante.png,pozione.png,mostro.png,diamante.png,chiave.png,scrigno.png,spada.png,sfera.png,sfera.png,chiave.png,pozione.png,scrigno.png,diamante.png,mostro.png,spada.png,chiave.png,pozione.png,mostro.png,{n},spada.png,diamante.png,scrigno.png,mostro.png,diamante.png,spada.png,pozione.png,trappola.png,scrigno.png,chiave.png,spada.png,scrigno.png,{n},diamante.png,pozione.png,chiave.png,mostro.png,diamante.png,spada.png,scrigno.png,mostro.png,chiave.png,sfera.png,pozione.png
000013,mostro.png,pozione.png,trappola.png,chiave.png,spada.png,scrigno.png,diamante.png,sfera.png,spada.png,scrigno.png,pozione.png,mostro.png,diamante.png,chiave.png,spada.png,chiave.png,mostro.png,diamante.png,pozione.png,{n},scrigno.png,chiave.png,scrigno.png,pozione.png,sfera.png,diamante.png,spada.png,mostro.png,scrigno.png,mostro.png,diamante.png,spada.png,{n},chiave.png,pozione.png,diamante.png,trappola.png,chiave.png,mostro.png,scrigno.png,pozione.png,spada.png,pozione.png,diamante.png,spada.png,scrigno.png,chiave.png,mostro.png,sfera.png
000014,diamante.png,sfera.png,spada.png,chiave.png,pozione.png,mostro.png,scrigno.png,sfera.png,mostro.png,pozione.png,spada.png,scrigno.png,chiave.png,diamante.png,chiave.png,spada.png,diamante.png,scrigno.png,trappola.png,pozione.png,mostro.png,pozione.png,scrigno.png,mostro.png,{n},chiave.png,diamante.png,spada.png,spada.png,pozione.png,{n},diamante.png,mostro.png,scrigno.png,chiave.png,mostro.png,chiave.png,scrigno.png,pozione.png,diamante.png,spada.png,trappola.png,scrigno.png,diamante.png,chiave.png,mostro.png,spada.png,sfera.png,pozione.png
000015,pozione.png,diamante.png,spada.png,trappola.png,mostro.png,scrigno.png,chiave.png,spada.png,mostro.png,{n},scrigno.png,chiave.png,diamante.png,pozione.png,sfera.png,chiave.png,scrigno.png,diamante.png,pozione.png,mostro.png,spada.png,diamante.png,spada.png,mostro.png,chiave.png,sfera.png,pozione.png,scrigno.png,chiave.png,scrigno.png,pozione.png,spada.png,diamante.png,{n},mostro.png,mostro.png,trappola.png,chiave.png,pozione.png,scrigno.png,spada.png,diamante.png,scrigno.png,pozione.png,diamante.png,mostro.png,spada.png,chiave.png,sfera.png
000016,sfera.png,chiave.png,pozione.png,scrigno.png,mostro.png,diamante.png,spada.png,spada.png,pozione.png,scrigno.png,diamante.png,chiave.png,trappola.png,mostro.png,diamante.png,mostro.png,chiave.png,pozione.png,spada.png,scrigno.png,{n},pozione.png,sfera.png,spada.png,mostro.png,diamante.png,chiave.png,scrigno.png,chiave.png,diamante.png,trappola.png,spada.png,scrigno.png,mostro.png,pozione.png,mostro.png,scrigno.png,diamante.png,{n},pozione.png,spada.png,chiave.png,scrigno.png,spada.png,mostro.png,chiave.png,sfera.png,pozione.png,diamante.png
000017,pozione.png,diamante.png,scrigno.png,trappola.png,chiave.png,mostro.png,spada.png,scrigno.png,mostro.png,chiave.png,diamante.png,sfera.png,spada.png,pozione.png,chiave.png,spada.png,sfera.png,mostro.png,diamante.png,pozione.png,scrigno.png,spada.png,{n},pozione.png,chiave.png,scrigno.png,diamante.png,mostro.png,trappola.png,pozione.png,diamante.png,spada.png,mostro.png,scrigno.png,chiave.png,diamante.png,scrigno.png,mostro.png,pozione.png,spada.png,chiave.png,{n},mostro.png,chiave.png,spada.png,scrigno.png,pozione.png,sfera.png,diamante.png
000018,pozione.png,sfera.png,chiave.png,scrigno.png,mostro.png,spada.png,diamante.png,chiave.png,spada.png,trappola.png,pozione.png,scrigno.png,diamante.png,mostro.png,diamante.png,scrigno.png,mostro.png,spada.png,{n},pozione.png,chiave.png,mostro.png,pozione.png,scrigno.png,diamante.png,spada.png,chiave.png,sfera.png,scrigno.png,chiave.png,pozione.png,mostro.png,diamante.png,trappola.png,spada.png,{n},diamante.png,spada.png,chiave.png,pozione.png,mostro.png,scrigno.png,spada.png,mostro.png,diamante.png,sfera.png,chiave.png,scrigno.png,pozione.png
000019,chiave.png,diamante.png,scrigno.png,spada.png,mostro.png,trappola.png,pozione.png,diamante.png,mostro.png,spada.png,chiave.png,sfera.png,pozione.png,scrigno.png,scrigno.png,spada.png,sfera.png,pozione.png,chiave.png,diamante.png,mostro.png,mostro.png,{n},chiave.png,diamante.png,pozione.png,scrigno.png,spada.png,pozione.png,scrigno.png,mostro.png,{n},spada.png,chiave.png,diamante.png,spada.png,chiave.png,pozione.png,scrigno.png,diamante.png,mostro.png,trappola.png,sfera.png,pozione.png,diamante.png,mostro.png,scrigno.png,spada.png,chiave.png
000020,scrigno.png,diamante.png,sfera.png,chiave.png,pozione.png,spada.png,mostro.png,spada.png,mostro.png,chiave.png,diamante.png,scrigno.png,{n},pozione.png,diamante.png,spada.png,pozione.png,scrigno.png,chiave.png,mostro.png,trappola.png,sfera.png,pozione.png,diamante.png,mostro.png,spada.png,chiave.png,scrigno.png,mostro.png,trappola.png,scrigno.png,spada.png,diamante.png,pozione.png,chiave.png,chiave.png,scrigno.png,mostro.png,pozione.png,{n},diamante.png,spada.png,pozione.png,chiave.png,spada.png,sfera.png,mostro.png,scrigno.png,diamante.png
000021,diamante.png,chiave.png,scrigno.png,spada.png,trappola.png,pozione.png,mostro.png,scrigno.png,diamante.png,pozione.png,mostro.png,spada.png,{n},chiave.png,chiave.png,mostro.png,diamante.png,{n},pozione.png,scrigno.png,spada.png,pozione.png,scrigno.png,trappola.png,chiave.png,mostro.png,spada.png,diamante.png,mostro.png,spada.png,chiave.png,pozione.png,scrigno.png,diamante.png,sfera.png,spada.png,sfera.png,mostro.png,scrigno.png,diamante.png,chiave.png,pozione.png,sfera.png,pozione.png,spada.png,diamante.png,chiave.png,mostro.png,scrigno.png
000022,chiave.png,sfera.png,mostro.png,diamante.png,spada.png,pozione.png,scrigno.png,diamante.png,pozione.png,{n},scrigno.png,chiave.png,spada.png,mostro.png,trappola.png,diamante.png,chiave.png,pozione.png,mostro.png,scrigno.png,spada.png,mostro.png,chiave.png,spada.png,{n},scrigno.png,diamante.png,pozione.png,scrigno.png,spada.png,pozione.png,mostro.png,diamante.png,chiave.png,sfera.png,spada.png,mostro.png,scrigno.png,chiave.png,pozione.png,sfera.png,diamante.png,pozione.png,scrigno.png,diamante.png,spada.png,trappola.png,mostro.png,chiave.png
000023,chiave.png,pozione.png,scrigno.png,mostro.png,spada.png,sfera.png,diamante.png,mostro.png,{n},pozione.png,scrigno.png,diamante.png,spada.png,chiave.png,trappola.png,chiave.png,diamante.png,spada.png,scrigno.png,mostro.png,pozione.png,diamante.png,scrigno.png,mostro.png,chiave.png,trappola.png,pozione.png,spada.png,pozione.png,diamante.png,spada.png,sfera.png,mostro.png,chiave.png,scrigno.png,scrigno.png,spada.png,sfera.png,pozione.png,chiave.png,diamante.png,mostro.png,spada.png,mostro.png,chiave.png,diamante.png,pozione.png,scrigno.png,{n}
000024,spada.png,scrigno.png,{n},pozione.png,diamante.png,mostro.png,chiave.png,mostro.png,trappola.png,chiave.png,diamante.png,spada.png,scrigno.png,pozione.png,pozione.png,spada.png,mostro.png,{n},chiave.png,diamante.png,scrigno.png,chiave.png,diamante.png,spada.png,scrigno.png,trappola.png,pozione.png,mostro.png,sfera.png,pozione.png,diamante.png,mostro.png,scrigno.png,chiave.png,spada.png,diamante.png,mostro.png,scrigno.png,chiave.png,pozione.png,spada.png,sfera.png,scrigno.png,chiave.png,pozione.png,spada.png,mostro.png,sfera.png,diamante.png
000025,spada.png,mostro.png,pozione.png,trappola.png,chiave.png,scrigno.png,diamante.png,scrigno.png,{n},spada.png,pozione.png,mostro.png,diamante.png,chiave.png,mostro.png,scrigno.png,chiave.png,diamante.png,spada.png,sfera.png,pozione.png,chiave.png,spada.png,diamante.png,scrigno.png,pozione.png,mostro.png,sfera.png,sfera.png,diamante.png,mostro.png,chiave.png,scrigno.png,pozione.png,spada.png,diamante.png,pozione.png,scrigno.png,spada.png,trappola.png,chiave.png,mostro.png,pozione.png,chiave.png,{n},mostro.png,diamante.png,spada.png,scrigno.png
000026,trappola.png,pozione.png,spada.png,mostro.png,scrigno.png,chiave.png,diamante.png,scrigno.png,diamante.png,chiave.png,pozione.png,spada.png,mostro.png,sfera.png,mostro.png,spada.png,diamante.png,scrigno.png,pozione.png,{n},chiave.png,spada.png,sfera.png,mostro.png,diamante.png,chiave.png,pozione.png,scrigno.png,pozione.png,chiave.png,{n},spada.png,diamante.png,scrigno.png,mostro.png,chiave.png,scrigno.png,pozione.png,trappola.png,mostro.png,diamante.png,spada.png,diamante.png,mostro.png,scrigno.png,chiave.png,sfera.png,spada.png,pozione.png
000027,pozione.png,spada.png,chiave.png,diamante.png,{n},mostro.png,scrigno.png,spada.png,chiave.png,mostro.png,sfera.png,pozione.png,scrigno.png,diamante.png,scrigno.png,diamante.png,trappola.png,chiave.png,mostro.png,pozione.png,spada.png,chiave.png,mostro.png,scrigno.png,pozione.png,spada.png,diamante.png,sfera.png,diamante.png,{n},pozione.png,mostro.png,scrigno.png,spada.png,chiave.png,trappola.png,pozione.png,spada.png,scrigno.png,diamante.png,chiave.png,mostro.png,mostro.png,scrigno.png,diamante.png,spada.png,chiave.png,sfera.png,pozione.png
000028,chiave.png,sfera.png,spada.png,scrigno.png,mostro.png,diamante.png,pozione.png,sfera.png,diamante.png,mostro.png,pozione.png,chiave.png,scrigno.png,spada.png,mostro.png,chiave.png,pozione.png,diamante.png,spada.png,{n},scrigno.png,pozione.png,spada.png,diamante.png,chiave.png,scrigno.png,mostro.png,trappola.png,scrigno.png,pozione.png,trappola.png,mostro.png,diamante.png,spada.png,chiave.png,spada.png,mostro.png,scrigno.png,{n},pozione.png,chiave.png,diamante.png,diamante.png,scrigno.png,chiave.png,spada.png,sfera.png,pozione.png,mostro.png
000029,scrigno.png,mostro.png,sfera.png,pozione.png,diamante.png,chiave.png,spada.png,chiave.png,diamante.png,pozione.png,spada.png,trappola.png,mostro.png,scrigno.png,sfera.png,spada.png,chiave.png,mostro.png,scrigno.png,pozione.png,diamante.png,diamante.png,pozione.png,scrigno.png,chiave.png,spada.png,{n},mostro.png,pozione.png,scrigno.png,mostro.png,diamante.png,chiave.png,spada.png,sfera.png,mostro.png,{n},spada.png,scrigno.png,pozione.png,diamante.png,chiave.png,spada.png,chiave.png,diamante.png,trappola.png,mostro.png,scrigno.png,pozione.png
000030,mostro.png,scrigno.png,chiave.png,pozione.png,diamante.png,sfera.png,spada.png,diamante.png,{n},mostro.png,scrigno.png,pozione.png,spada.png,chiave.png,pozione.png,spada.png,diamante.png,trappola.png,scrigno.png,chiave.png,mostro.png,spada.png,diamante.png,sfera.png,mostro.png,chiave.png,pozione.png,scrigno.png,scrigno.png,chiave.png,pozione.png,spada.png,sfera.png,mostro.png,diamante.png,trappola.png,mostro.png,scrigno.png,chiave.png,spada.png,diamante.png,pozione.png,chiave.png,pozione.png,spada.png,diamante.png,mostro.png,scrigno.png,{n}
000031,diamante.png,scrigno.png,mostro.png,spada.png,chiave.png,sfera.png,pozione.png,chiave.png,spada.png,scrigno.png,pozione.png,trappola.png,mostro.png,diamante.png,mostro.png,diamante.png,pozione.png,chiave.png,scrigno.png,spada.png,sfera.png,scrigno.png,chiave.png,diamante.png,{n},spada.png,pozione.png,mostro.png,spada.png,{n},chiave.png,mostro.png,pozione.png,diamante.png,scrigno.png,pozione.png,mostro.png,trappola.png,scrigno.png,diamante.png,chiave.png,spada.png,sfera.png,pozione.png,spada.png,diamante.png,mostro.png,scrigno.png,chiave.png
000032,diamante.png,mostro.png,sfera.png,spada.png,pozione.png,scrigno.png,chiave.png,scrigno.png,chiave.png,spada.png,pozione.png,mostro.png,trappola.png,diamante.png,mostro.png,spada.png,diamante.png,scrigno.png,{n},chiave.png,pozione.png,spada.png,scrigno.png,mostro.png,chiave.png,diamante.png,pozione.png,sfera.png,pozione.png,{n},chiave.png,diamante.png,scrigno.png,mostro.png,spada.png,sfera.png,diamante.png,pozione.png,mostro.png,chiave.png,spada.png,scrigno.png,chiave.png,pozione.png,scrigno.png,trappola.png,spada.png,diamante.png,mostro.png
000033,pozione.png,sfera.png,spada.png,diamante.png,chiave.png,mostro.png,scrigno.png,spada.png,mostro.png,chiave.png,sfera.png,diamante.png,scrigno.png,pozione.png,chiave.png,scrigno.png,diamante.png,mostro.png,trappola.png,pozione.png,spada.png,mostro.png,chiave.png,scrigno.png,spada.png,pozione.png,diamante.png,sfera.png,scrigno.png,diamante.png,pozione.png,chiave.png,spada.png,{n},mostro.png,{n},spada.png,mostro.png,pozione.png,scrigno.png,chiave.png,diamante.png,diamante.png,pozione.png,trappola.png,scrigno.png,mostro.png,spada.png,chiave.png
000034,spada.png,chiave.png,mostro.png,scrigno.png,diamante.png,sfera.png,pozione.png,diamante.png,spada.png,scrigno.png,chiave.png,trappola.png,pozione.png,mostro.png,chiave.png,scrigno.png,pozione.png,mostro.png,spada.png,diamante.png,sfera.png,mostro.png,pozione.png,diamante.png,{n},scrigno.png,chiave.png,spada.png,trappola.png,diamante.png,chiave.png,spada.png,pozione.png,mostro.png,scrigno.png,scrigno.png,mostro.png,sfera.png,pozione.png,chiave.png,spada.png,diamante.png,pozione.png,{n},spada.png,diamante.png,mostro.png,scrigno.png,chiave.png
000035,spada.png,sfera.png,pozione.png,chiave.png,scrigno.png,mostro.png,diamante.png,chiave.png,mostro.png,{n},pozione.png,spada.png,diamante.png,scrigno.png,trappola.png,scrigno.png,diamante.png,mostro.png,pozione.png,spada.png,chiave.png,mostro.png,spada.png,scrigno.png,diamante.png,sfera.png,chiave.png,pozione.png,scrigno.png,pozione.png,chiave.png,spada.png,diamante.png,sfera.png,mostro.png,diamante.png,chiave.png,spada.png,scrigno.png,mostro.png,pozione.png,trappola.png,pozione.png,diamante.png,mostro.png,{n},chiave.png,scrigno.png,spada.png
000036,diamante.png,scrigno.png,chiave.png,spada.png,mostro.png,pozione.png,sfera.png,spada.png,chiave.png,mostro.png,scrigno.png,pozione.png,trappola.png,diamante.png,trappola.png,spada.png,scrigno.png,diamante.png,chiave.png,mostro.png,pozione.png,mostro.png,{n},diamante.png,pozione.png,spada.png,scrigno.png,chiave.png,pozione.png,diamante.png,spada.png,{n},scrigno.png,chiave.png,mostro.png,chiave.png,pozione.png,sfera.png,mostro.png,diamante.png,spada.png,scrigno.png,scrigno.png,mostro.png,pozione.png,chiave.png,sfera.png,diamante.png,spada.png
000037,pozione.png,diamante.png,spada.png,chiave.png,mostro.png,scrigno.png,trappola.png,spada.png,pozione.png,chiave.png,{n},scrigno.png,diamante.png,mostro.png,sfera.png,chiave.png,mostro.png,scrigno.png,pozione.png,spada.png,diamante.png,mostro.png,{n},scrigno.png,diamante.png,spada.png,chiave.png,pozione.png,chiave.png,spada.png,trappola.png,mostro.png,diamante.png,pozione.png,scrigno.png,diamante.png,scrigno.png,pozione.png,spada.png,sfera.png,mostro.png,chiave.png,scrigno.png,mostro.png,diamante.png,pozione.png,chiave.png,sfera.png,spada.png
000038,diamante.png,spada.png,sfera.png,mostro.png,scrigno.png,chiave.png,pozione.png,mostro.png,diamante.png,chiave.png,trappola.png,pozione.png,scrigno.png,spada.png,chiave.png,{n},pozione.png,scrigno.png,diamante.png,spada.png,mostro.png,scrigno.png,chiave.png,spada.png,pozione.png,mostro.png,diamante.png,sfera.png,trappola.png,mostro.png,scrigno.png,chiave.png,spada.png,pozione.png,diamante.png,pozione.png,scrigno.png,diamante.png,spada.png,sfera.png,mostro.png,chiave.png,spada.png,pozione.png,mostro.png,diamante.png,chiave.png,{n},scrigno.png
000039,diamante.png,spada.png,mostro.png,scrigno.png,chiave.png,{n},pozione.png,mostro.png,diamante.png,chiave.png,spada.png,pozione.png,scrigno.png,trappola.png,spada.png,scrigno.png,diamante.png,sfera.png,mostro.png,pozione.png,chiave.png,chiave.png,mostro.png,pozione.png,diamante.png,sfera.png,spada.png,scrigno.png,scrigno.png,trappola.png,spada.png,pozione.png,diamante.png,chiave.png,mostro.png,pozione.png,chiave.png,{n},mostro.png,scrigno.png,diamante.png,spada.png,sfera.png,pozione.png,scrigno.png,chiave.png,spada.png,mostro.png,diamante.png
000040,spada.png,diamante.png,mostro.png,sfera.png,chiave.png,pozione.png,scrigno.png,scrigno.png,pozione.png,trappola.png,spada.png,diamante.png,mostro.png,chiave.png,mostro.png,scrigno.png,diamante.png,pozione.png,spada.png,chiave.png,sfera.png,{n},chiave.png,pozione.png,mostro.png,scrigno.png,diamante.png,spada.png,pozione.png,spada.png,chiave.png,diamante.png,trappola.png,scrigno.png,mostro.png,diamante.png,{n},scrigno.png,chiave.png,mostro.png,spada.png,pozione.png,chiave.png,mostro.png,spada.png,scrigno.png,pozione.png,sfera.png,diamante.png
000041,sfera.png,spada.png,chiave.png,scrigno.png,mostro.png,pozione.png,diamante.png,chiave.png,pozione.png,mostro.png,diamante.png,scrigno.png,{n},spada.png,mostro.png,trappola.png,scrigno.png,spada.png,diamante.png,chiave.png,pozione.png,spada.png,scrigno.png,pozione.png,chiave.png,sfera.png,diamante.png,mostro.png,pozione.png,diamante.png,{n},mostro.png,chiave.png,spada.png,scrigno.png,diamante.png,mostro.png,spada.png,sfera.png,pozione.png,scrigno.png,chiave.png,scrigno.png,chiave.png,diamante.png,pozione.png,spada.png,mostro.png,trappola.png
000042,scrigno.png,chiave.png,spada.png,mostro.png,pozione.png,sfera.png,diamante.png,chiave.png,mostro.png,scrigno.png,pozione.png,diamante.png,spada.png,sfera.png,spada.png,scrigno.png,trappola.png,chiave.png,mostro.png,diamante.png,pozione.png,{n},spada.png,diamante.png,scrigno.png,chiave.png,pozione.png,mostro.png,pozione.png,diamante.png,mostro.png,{n},spada.png,chiave.png,scrigno.png,diamante.png,sfera.png,pozione.png,spada.png,scrigno.png,mostro.png,chiave.png,mostro.png,pozione.png,chiave.png,diamante.png,trappola.png,scrigno.png,spada.png
000043,spada.png,pozione.png,diamante.png,chiave.png,sfera.png,mostro.png,scrigno.png,scrigno.png,mostro.png,spada.png,{n},diamante.png,chiave.png,pozione.png,pozione.png,chiave.png,scrigno.png,diamante.png,spada.png,sfera.png,mostro.png,diamante.png,scrigno.png,trappola.png,mostro.png,chiave.png,pozione.png,spada.png,mostro.png,{n},pozione.png,spada.png,scrigno.png,diamante.png,chiave.png,sfera.png,spada.png,chiave.png,pozione.png,mostro.png,scrigno.png,diamante.png,chiave.png,diamante.png,mostro.png,scrigno.png,pozione.png,spada.png,trappola.png
000044,pozione.png,mostro.png,sfera.png,chiave.png,diamante.png,scrigno.png,spada.png,chiave.png,trappola.png,diamante.png,spada.png,pozione.png,mostro.png,scrigno.png,diamante.png,scrigno.png,mostro.png,pozione.png,sfera.png,spada.png,chiave.png,{n},spada.png,scrigno.png,diamante.png,mostro.png,chiave.png,pozione.png,spada.png,diamante.png,pozione.png,scrigno.png,chiave.png,trappola.png,mostro.png,mostro.png,chiave.png,spada.png,{n},scrigno.png,pozione.png,diamante.png,scrigno.png,pozione.png,chiave.png,mostro.png,spada.png,diamante.png,sfera.png
000045,spada.png,pozione.png,scrigno.png,mostro.png,diamante.png,sfera.png,chiave.png,sfera.png,diamante.png,pozione.png,scrigno.png,spada.png,chiave.png,mostro.png,mostro.png,sfera.png,spada.png,diamante.png,chiave.png,scrigno.png,pozione.png,chiave.png,spada.png,diamante.png,pozione.png,{n},mostro.png,scrigno.png,diamante.png,scrigno.png,mostro.png,chiave.png,pozione.png,spada.png,trappola.png,scrigno.png,chiave.png,{n},spada.png,mostro.png,pozione.png,diamante.png,pozione.png,mostro.png,chiave.png,trappola.png,scrigno.png,diamante.png,spada.png
000046,chiave.png,diamante.png,mostro.png,spada.png,scrigno.png,{n},pozione.png,pozione.png,chiave.png,{n},scrigno.png,mostro.png,diamante.png,spada.png,sfera.png,mostro.png,spada.png,chiave.png,pozione.png,scrigno.png,diamante.png,diamante.png,trappola.png,scrigno.png,pozione.png,spada.png,mostro.png,chiave.png,spada.png,pozione.png,diamante.png,mostro.png,sfera.png,chiave.png,scrigno.png,scrigno.png,spada.png,chiave.png,sfera.png,diamante.png,pozione.png,mostro.png,mostro.png,scrigno.png,pozione.png,diamante.png,chiave.png,spada.png,trappola.png
000047,diamante.png,chiave.png,spada.png,scrigno.png,mostro.png,sfera.png,pozione.png,chiave.png,mostro.png,scrigno.png,pozione.png,spada.png,diamante.png,sfera.png,scrigno.png,pozione.png,diamante.png,chiave.png,sfera.png,spada.png,mostro.png,trappola.png,diamante.png,mostro.png,spada.png,chiave.png,pozione.png,scrigno.png,spada.png,scrigno.png,{n},diamante.png,pozione.png,mostro.png,chiave.png,pozione.png,{n},chiave.png,mostro.png,diamante.png,scrigno.png,spada.png,mostro.png,spada.png,pozione.png,trappola.png,scrigno.png,chiave.png,diamante.png
